Medical school,Ave.,Std. Dev.,Max.,Min.
Brighton and Sussex  ,80.61,5.869,95.256,64.918
Cardiff University,80.834,5.624,94.256,57.254
Eligibility Office ,74.03,6.756,90.446,39.283
Hull and York Medical School,80.456,5.854,95.256,66.791
Imperial College London ,82.078,5.649,94.225,63.164
Keele University ,81.057,5.679,92.904,66.279
King's College London ,81.693,5.468,94.958,64.288
Newcastle University ,81.3,5.619,95.73,65.269
Norwich Medical School ,80.517,6.039,94.661,58.891
Plymouth University  ,79.046,6.089,91.275,64.677
Queen Mary University of London ,82.089,5.344,94.721,66.972
Queen's University Belfast ,80.916,5.835,94.958,62.01
St George's University of London ,80.37,6.377,95.778,63.247
The University of Edinburgh ,82.354,5.745,94.138,64.677
The University of Sheffield ,81.685,5.539,94.415,62.941
The University of Warwick ,83.339,5.396,94.531,67.162
University College London ,83.115,5.471,96.035,68.173
University of Aberdeen ,80.67,6.907,93.246,56.488
University of Birmingham ,81.021,6.562,93.616,38.755
University of Bristol ,80.961,5.984,93.531,62.054
University of Buckingham ,77.591,5.376,87.167,63.636
University of Cambridge ,84.374,5.473,95.012,59.659
University of Central Lancashire ,75.836,5.46,85.555,62.576
University of Dundee ,80.686,6.806,94.075,61.298
University of Exeter ,80.089,6.413,94.49,63.247
University of Glasgow ,80.013,6.654,94.192,57.264
University of Lancaster ,80.059,6.247,90.638,65.561
University of Leeds ,81.486,6.151,93.436,62.627
University of Leicester ,81.189,5.93,95.3,66.791
University of Liverpool ,81.059,5.644,92.885,65.747
University of Manchester ,81.191,5.818,93.531,60.01
University of Nottingham ,80.636,5.878,94.309,62.28
University of Oxford ,84.546,4.857,95.383,70.855
University of Southampton ,80.377,5.697,93.895,65.386
University of Swansea ,82.598,5.425,91.605,69.649